,tweet_id,text,task1,task2,ID
384,1.126928874493948e+18,Lame ass nigga doin lame ass shit,HOF,HATE,hasoc_2020_en_4430
396,1.1235326123398144e+18,"RT @JhaSanjay: Mr #Modi, You just said in UP  that after 2014 there has been no “ dhamaka” didn’t you? You were lying. Your lie has been fu…",HOF,HATE,hasoc_2020_en_4502
398,1.1301495966577009e+18,RT @aIIahstans: Americans be like “i can excuse killing thousands of children in the middle east but i draw the line at getting rid of a cl…,HOF,HATE,hasoc_2020_en_2428
404,1.1235558823259379e+18,"@RepCummings US Marshals need to be on hand to jail Barr, and Congress must remove Trump from office immediately.",HOF,HATE,hasoc_2020_en_1640
414,1.1236589699380019e+18,RT @ruinthesteele: billie eilish is a 17 year old girl and y’all are grabbing her boobs???at a m&amp;g??? some of y’all are sick sososo sick,HOF,HATE,hasoc_2020_en_852
417,1.1236161167256945e+18,Go Valour!,HOF,HATE,hasoc_2020_en_3689
461,1.1268486500538122e+18,RT @lachicapicante: Y’all stuck kids in cages and separated them from their parents but you’re pressed over a fetus. Fucking Republicans. h…,HOF,HATE,hasoc_2020_en_1225
469,1.1300830498138152e+18,The entire plot is basically what Trunks did in Dragon Ball Z (multiverse theory’s a bitch),HOF,HATE,hasoc_2020_en_1617
493,1.1237332175075328e+18,"The Senate President, Bukola Saraki, Deputy Senate President, Ike Ekweremadu have hailed Nigerian workers for playi… https://t.co/Z4FKBmZzbI",HOF,HATE,hasoc_2020_en_1497
574,1.1270250540579922e+18,@LemzHussle War criminal. You make me sick,HOF,HATE,hasoc_2020_en_30
702,1.1235947718916178e+18,@LavenderNRed @Nationals Wow what an idiot take from a complete idiot.,HOF,HATE,hasoc_2020_en_3007
726,1.1237423065349407e+18,"RT @AdamantxYves: America is just a series of terrorist attacks that they won't call terrorism, and we just try to live around/between them.",HOF,HATE,hasoc_2020_en_4165
751,1.1235696815735808e+18,@realDonaldTrump Kill them all,HOF,HATE,hasoc_2020_en_923
848,1.1236013653627208e+18,RT @LindseyGrahamSC: “You know how you make America great again? Tell @realDonaldTrump to go to hell” https://t.co/pBLaZ1kgUV,HOF,HATE,hasoc_2020_en_4472
857,1.1237488370704627e+18,"RT @Lrihendry: @ChatByCC @realDonaldTrump The Democrat women in this Congress are not only stupid, they’re hateful they use violent rhetori…",HOF,HATE,hasoc_2020_en_1731
918,1.1301944211805102e+18,Never will you ever see another series where the characters look absolutely gay but are the manliest mother fuckers… https://t.co/7IAAeQy1iD,HOF,HATE,hasoc_2020_en_3794
926,1.1237805879726449e+18,"RT @TheTunnelingCat: #TransCrowdFund Hey all I'm Kaya, today is my birthday, and all I want is to get my name changed https://t.co/okUAdD7t…",HOF,HATE,hasoc_2020_en_468
936,1.1270092876859885e+18,RT @MichaelGoros: @robreiner Who was president in 2016? What did he do about it? #ObamaSpiedDemocratsLied,HOF,HATE,hasoc_2020_en_2683
943,1.1267457511811891e+18,"And if you find a Filipina, and she’s fine, you better keep her. Cuz there ain’t nothing like a Filipina girl. 🤪",HOF,HATE,hasoc_2020_en_1778
965,1.1270071653554463e+18,"RT @Ezidi2: ""I was 12 when IS took me. I was sold to eight men, but only three raped me. The others used me as a slave""

In 2014 Islamic St…",HOF,HATE,hasoc_2020_en_2785
968,1.1235566247093656e+18,RT @okaayday: men are sick. like actually sick https://t.co/UXEInlX2cF,HOF,HATE,hasoc_2020_en_4894
1007,1.1270584197840691e+18,"*wiping tears from my eyes*
Fuck steph and kd,",HOF,HATE,hasoc_2020_en_2073
1014,1.126839317702357e+18,@flowerlady61 what a fucking stupid article,HOF,HATE,hasoc_2020_en_2013
1109,1.1270078322583552e+18,the amount it costs to adopt someone is literal proof that the government does not give a single fuck about poor pe… https://t.co/Gkpj5sDuCf,HOF,HATE,hasoc_2020_en_339
1114,1.1302875179646566e+18,WHAT THE FUCK #GameOfThrones,HOF,HATE,hasoc_2020_en_3390
1120,1.1269383074751816e+18,Fuck your book,HOF,HATE,hasoc_2020_en_1301
1159,1.123766566414422e+18,"Attorney General Barr cancels second day of testimony, escalating battle with Congress - Reuters - Crooked Ass https://t.co/JyJpOjmUzB",HOF,HATE,hasoc_2020_en_3667
1161,1.1303508225821327e+18,"RT @ttungttunghano1: a haiku by Seunghyub

my legs are so long
look at my good proportions
fuck all short people https://t.co/4Yw4AEvXUy",HOF,HATE,hasoc_2020_en_2646
1173,1.1270361983612397e+18,RT @Abigail_in_1692: @SandraWocs @StormyDaniels @MacTroll5 @RachelStarrxxx @MichaelAvenatti It was Trump who cheated on his wife.After she…,HOF,HATE,hasoc_2020_en_4491
1214,1.1267598692041603e+18,RT @Landoee_Staxx: Fuck them niggas for life the way they did me wrong.,HOF,HATE,hasoc_2020_en_1970
1217,1.1269801288676393e+18,@DrJenGunter Up next: Ohio outlaws fucking,HOF,HATE,hasoc_2020_en_627
1267,1.1237069737389955e+18,"He's an idiot, and worse than that, a Tory. But I'd like to see the media use their connections to at least researc… https://t.co/0jAJpWPmeY",HOF,HATE,hasoc_2020_en_842
1307,1.1270440584744796e+18,Now Golden State “fans” are mad cause we getting easy fouls... Hoe asses forget all the calls they got and we didn’t the first two games..,HOF,HATE,hasoc_2020_en_4882
1313,1.1268756613630812e+18,"RT @akashbanerjee: Ever wondered why Modi gave up blaming #Nehru for everything &amp; shifted his focus on #RajivGandhi instead?
That is becaus…",HOF,HATE,hasoc_2020_en_3154
1425,1.1238003011930399e+18,"RT @tiadanaee: White people dont get arrested for rape, drugs, selling lemonade on the side of the road etc, but as soon as a white person…",HOF,HATE,hasoc_2020_en_2343
1439,1.123799315531608e+18,@_marinacanales @kennedy_weldon Welcome to America where people complain about getting shit themselves with there t… https://t.co/F6BqldQGQG,HOF,HATE,hasoc_2020_en_2609
1457,1.1303372246443868e+18,RT @ItsRickkBitch: People will swear on everything &amp; still be lying their ass off,HOF,HATE,hasoc_2020_en_614
1486,1.1303294609751e+18,"RT @iconicaesthetic: me in 2012: sansa stark queen in the north
haters: delusional bitch it’s never gonna happen
me in 2019: https://t.co/m…",HOF,HATE,hasoc_2020_en_2810
1516,1.1300973607706093e+18,@Coolhtowngirl Oh WOW That is Fucking Close It’s a Photo Finish Folks And Bucky Wins By A Pubic Hair!!!Yay!!!🤩 Yeah… https://t.co/GlgpAmDpun,HOF,HATE,hasoc_2020_en_934
1518,1.1235567757085656e+18,RT @JackPosobiec: Raise your hand if you think Trump should designate both the Muslim Brotherhood AND Antifa as terrorist organizations,HOF,HATE,hasoc_2020_en_782
1557,1.1302284998920685e+18,RT @MAGAPATRIOT_TGM: @SaraCarterDC @MittRomney Is he trying to save his own AZZ now? Have the Republicans that put that fool in office (UTA…,HOF,HATE,hasoc_2020_en_2232
1570,1.1236093596976988e+18,RT @davidhogg111: If you’re an anti-vax candidate I will not  vote for you and no one else should.,HOF,HATE,hasoc_2020_en_1545
1595,1.1268240336753539e+18,"RT @RWPUSA: Republicans were willing to impeach a president for lying about a consensual affair with a White House intern.
Democrats won’t…",HOF,HATE,hasoc_2020_en_1659
1598,1.1237968534794322e+18,"RT @SudheenKulkarni: ""#Congress people hate me so much that they dream of KILLING me"" - #Modi

Coming from an incumbent PM, this is an extr…",HOF,HATE,hasoc_2020_en_945
1613,1.1237034379449262e+18,"RT @krassenstein: How can any American not be calling for the impeachment of both Barr and Trump right now?

This is unbelievable!

https:/…",HOF,HATE,hasoc_2020_en_3262
1614,1.1268909454028675e+18,@SweetSP902 I hate you’ll.... but she didn’t tell us that juicy piece tho👀👀 https://t.co/lb2YQGLAFO,HOF,HATE,hasoc_2020_en_1321
1619,1.1238281094453576e+18,"@girlsreallyrule Such arrogant assholes these Trump enablers, GOP corrupt thugs!!!",HOF,HATE,hasoc_2020_en_4141
1623,1.1268446025212147e+18,@fIackito @jiminigeria why r boys so stupid,HOF,HATE,hasoc_2020_en_4469
1658,1.1268158044381348e+18,RT @SethAbramson: All I'm saying and I realize it's controversial is that we shouldn't have a president who committed a bunch of crimes,HOF,HATE,hasoc_2020_en_832
1677,1.12680729419964e+18,RT @CHIZMAGA: Joe DiGenova says he’s been informed by the Office of Inspector General that the FISA Warrants to spy on the Trump Campaign w…,HOF,HATE,hasoc_2020_en_5387
1678,1.1235781289017344e+18,RT @LaylaAlisha11: PRESIDENTIAL HARRASSMENT: Dems Are Issuing Subpoenas For President Trump’s GRANDKIDS [WATCH]. Congress is officially abu…,HOF,HATE,hasoc_2020_en_4166
1687,1.1269102433827594e+18,@Juifu_sexslave I’m following for that good gay shit,HOF,HATE,hasoc_2020_en_251
1704,1.1300289013615206e+18,RT @RD_BANA: These Jihadi’s sponsored by Pakistan are spread all over India....they need to be hounded and thrown in before they get more o…,HOF,HATE,hasoc_2020_en_3926
1764,1.126846418659029e+18,That Nigga ain’t shit dawg👎🏽,HOF,HATE,hasoc_2020_en_3485
1803,1.1300219052500952e+18,"You ever question yourself where the energy usually come from during RAMADAN period?

The sleepless nights,work,tef… https://t.co/9Dr5nTkJyi",HOF,HATE,hasoc_2020_en_3038
1838,1.1237873450006323e+18,"RT @1pinkfridayy: y’all b so happy to brag about being trash human beings on here fucking psychopaths, get help",HOF,HATE,hasoc_2020_en_5276
1887,1.1268705736640799e+18,"RT @PrisonPlanet: Ben Shapiro an ""enabler of fascism""? He's Jewish.

Yet another example of the utter ""everyone's a Nazi"" hysteria that has…",HOF,HATE,hasoc_2020_en_2964
2001,1.1268893809232814e+18,RT @followingval: Niggas will talk to and fuck anything. Any size any shape. Ugly or not. Don’t ever feel flattered. Cuffing might be a dif…,HOF,HATE,hasoc_2020_en_3985
2003,1.1268115849601267e+18,"RT @Sekusa1: 🔥Muslim refugees in Sweden

🔥This is why we don't want them in
United States Of America 

🔥Muslims only want to take over USA…",HOF,HATE,hasoc_2020_en_210
2019,1.1268697851181587e+18,RT @QasimRashid: While GOP cut $1.5T in taxes for millionaires &amp; billionaires &amp; tried to ban Muslims from immigrating to America—a Muslim i…,HOF,HATE,hasoc_2020_en_4498
2035,1.126795986372825e+18,"RT @JimMFelton: 2016:
""Brexit will improve your lives""

2019:
""It won't be as bad as that time that 450,000 of us fucking died"" https://t.c…",HOF,HATE,hasoc_2020_en_5342
2049,1.1269523457980947e+18,Full offense but people that make video games almost never understand what's enjoyable about video games,HOF,HATE,hasoc_2020_en_5002
2057,1.1237459304428787e+18,@ChooseToBFree @adjunctprofessr Who’s in bed with Russia. We know you Dems are evil! Hillary sold our Uranium to th… https://t.co/uY7912ohWu,HOF,HATE,hasoc_2020_en_2027
2069,1.1237215279780045e+18,RT @JawnHouston: These gay white rappers and pop stars get all this attention just to shit on indie artists of color and claim we gotta wor…,HOF,HATE,hasoc_2020_en_3599
2109,1.1268271878044754e+18,On god—men do not understand my humor. You all are lame as fuck,HOF,HATE,hasoc_2020_en_2393
2147,1.1268034438411428e+18,"I want to walk all over you 
Smother your face with my massive black cheeks
Mind fuck your brain leave you locked i… https://t.co/3Zaffi36L4",HOF,HATE,hasoc_2020_en_35
2154,1.1302860331809874e+18,"RT @catturd2: I wish Chris Wallace would spit the marbles out of his mouth and quit mumbling like a damn idiot. 

This Never Trump ass-wipe…",HOF,HATE,hasoc_2020_en_1291
2159,1.1237333684814273e+18,RT @ellevargaz: Fuck (and I cannot express this enough) T*u*p supporters &amp; those who voted for him. https://t.co/f0ksmW1Sd6,HOF,HATE,hasoc_2020_en_1573
2167,1.1270780155553628e+18,"RT @ChloBunnyy: For my baby cousin, Help Kaya Kick Leukemias Ass https://t.co/xta4qr5ry7",HOF,HATE,hasoc_2020_en_4495
2173,1.1303153681180672e+18,RT @Cindtrillella: This is a nice thread for Game of Thrones called “What was the fucking point?”,HOF,HATE,hasoc_2020_en_3568
2176,1.1300674428170158e+18,@TakesRight the white kid that threw a water balloon at me in 3rd grade is a domestic terrorist that tried to cowardly attack the Maltese,HOF,HATE,hasoc_2020_en_1068
2195,1.1268618159613827e+18,"RT @JordanUhl: Turning Point USA's UNLV president: ""We’re Gonna Run the Country! White Power! F**k N*****s!"" https://t.co/JaNT20nrHa",HOF,HATE,hasoc_2020_en_2728
2203,1.1270057980166675e+18,RT @knjight: yall waited for a white woman to say that james charles is problematic trash to cancel him? when poc been telling y’all that f…,HOF,HATE,hasoc_2020_en_3444
2204,1.1270525100053586e+18,@Braezellee Or about having to get a abortion how much mental shit that you have to go through on your own that wha… https://t.co/Zs7mqBg32k,HOF,HATE,hasoc_2020_en_4623
2211,1.1300322190646108e+18,"RT @ViscountBraith1: BREAKING: Out of all the videos from yesterday one stood out for me. The speech from Pakistani Mo Fyaz.

""I'm sick of…",HOF,HATE,hasoc_2020_en_3879
2214,1.1302402355462675e+18,RT @DavidJHarrisJr: They never have any facts... Just out of control emotional rhetoric. Had to stick up for my President @realDonaldTrump!…,HOF,HATE,hasoc_2020_en_1927
2256,1.1235982573876019e+18,@robreiner Graham should have been kicked off this Committee.  He has proven he is a traitor to America and Trumps… https://t.co/q346yJ7wea,HOF,HATE,hasoc_2020_en_2194
2279,1.126978274985431e+18,RT @thehill: Poll: 45 percent of Americans say Trump should be impeached https://t.co/zbtetoUUfW https://t.co/2GQoRqr0NP,HOF,HATE,hasoc_2020_en_1415
2289,1.1302223846052904e+18,RT @WeirdMovieBros: When you’re a 24 yr old piece of shit and you break into the home of a 73 yr old and threaten him and his wife with a k…,HOF,HATE,hasoc_2020_en_4282
2291,1.123766214084395e+18,@KimsRustyWheels They’re just showing America their ass. Literally and figuratively. Who picks on Asian tourists!!,HOF,HATE,hasoc_2020_en_2546
2314,1.126954728171221e+18,RT @KingHeiric: The James Charles situation is yet another reminder that people gotta stop giving white gays the benefit of the doubt when…,HOF,HATE,hasoc_2020_en_1511
2363,1.1270238964552049e+18,RT @nysohollywood: Don't ever stop Being a solid female cause a weak ass nigga folded on you,HOF,HATE,hasoc_2020_en_1282
2449,1.1270681044276552e+18,RT @TSUKl666: Fuck all these females tbh all I need is my homies.... about to risk it all https://t.co/SN1FOn7rm0,HOF,HATE,hasoc_2020_en_2475
2451,1.130225018632364e+18,Fuck off and get out of Israel's hole. No fucker wants more yank oil wars.,HOF,HATE,hasoc_2020_en_4217
2488,1.1301640334228111e+18,RT @bniceloco: Niggas do the funniest shit when they're high 😭😭 https://t.co/t85BSS87JY,HOF,HATE,hasoc_2020_en_5052
2496,1.1268352659962511e+18,"RT @keepmesecret333: 👸🏼you pathetic little boys can only ever dream of getting to touch someone like me 👸🏼

Thank you @TheKnickerFairy 👸🏼🖤…",HOF,HATE,hasoc_2020_en_3920
2536,1.1301652875406664e+18,"@LiverpoolLeft I bet the coppers are well impressed having to protect that racist little shit.
Solidarity Bootle✊",HOF,HATE,hasoc_2020_en_509
2618,1.1270908207655361e+18,"RT @stonyshome: this bitch called tony ""wrinkly raisin"" so chris evans fought for our wrinkly stevetony rights https://t.co/A3ew2Q7LJs",HOF,HATE,hasoc_2020_en_1430
2625,1.1269485331842048e+18,"RT @adamcbest: Conservatives on abortion: We want a ban!

Conservatives on gay marriage: We want a ban!

Conservatives on immigration: We w…",HOF,HATE,hasoc_2020_en_4017
2648,1.1301691798463981e+18,@CBSNews She has humanitarian helping causes around the world. Yeah right. Fucking monarchy useless people. Glad we don't  have that shit,HOF,HATE,hasoc_2020_en_2469
2670,1.1270854142868111e+18,"Cops are fucking disgusting, you can't change my mind. https://t.co/2igqOzCB13",HOF,HATE,hasoc_2020_en_2017
2727,1.1237074644893408e+18,RT @senseiamal: Sexual assault rate would go off the roof. Men are absolute animals and sharing such intimate space with them is a madness.…,HOF,HATE,hasoc_2020_en_4163
2728,1.1302012117419008e+18,RT @AndyOstroy: Can we just agree at this point that everything this corrupt traitor does is shocking and inappropriate? That everything he…,HOF,HATE,hasoc_2020_en_3806
2744,1.130253258881196e+18,"RT @Heywood98: 💥BOOM💥
Never Threaten the United States Again!!

Hey World, The Apology Tour is Over! America is Strong Again and We Will Fi…",HOF,HATE,hasoc_2020_en_3010
2759,1.1236417229348905e+18,This shit is legendary,HOF,HATE,hasoc_2020_en_3910
2778,1.1301347614129971e+18,"RT @qwertee: ""America's Ass"" for just 12hr more on https://t.co/PrRul7wbSk ReTweet for chance at FREE TEE! https://t.co/56I039vbhE",HOF,HATE,hasoc_2020_en_4788
2799,1.1269994981887836e+18,Lakers fans outside staples are making us all look stupid. Our front office isnt even in that bad of shape. Espn ju… https://t.co/HGmY8PMm57,HOF,HATE,hasoc_2020_en_3374
2838,1.1268133130301315e+18,RT @RawStory: President suffers meltdown after James Comey told CNN it is ‘possible’ that ‘the Russians have leverage over President Trump’…,HOF,HATE,hasoc_2020_en_4790
2847,1.1300080179261194e+18,The utter ignorance of intolerant white people about #Muslims is astounding. Mmm she said she was willing to talk s… https://t.co/98gmWp5wKZ,HOF,HATE,hasoc_2020_en_5180
2873,1.1235799995613553e+18,RT @lulyasx: I don’t trust shit! I don’t put nothing pass nobody..,HOF,HATE,hasoc_2020_en_4687
2945,1.1301186846247361e+18,"RT @dbongino: Claiming you’re a “libertarian,” while calling for the impeachment of an innocent man whose constitutional Rights were grotes…",HOF,HATE,hasoc_2020_en_5262
2946,1.1235539948973834e+18,@McNaughtonArt Trump would fall right on his ass,HOF,HATE,hasoc_2020_en_4667
2980,1.1235118001824275e+18,"RT @getausright: Once again Shorten proven to be lying, it’s so clear that Shorten is a liar - come on Australia don’t vote for this liar a…",HOF,HATE,hasoc_2020_en_4753
2981,1.1268178806101811e+18,"RT @PreetiSMenon: Shame on you @GautamGambhir.
We all know it's mandatory to be a filthy misogynist to be in @BJP4India but your sordid fak…",HOF,HATE,hasoc_2020_en_4241
2993,1.1269207920827352e+18,Relationships in America are trash for the most part. Other cultures with so much less technology and money are bet… https://t.co/8QNfjSGI1T,HOF,HATE,hasoc_2020_en_3064
2999,1.1267645877962221e+18,"RT @TheCheekyGinger: If I see one more man.

I mean ONE MORE FUCKING MAN.

Saying that this Georgia law bullshit doesn't mean what the fuck…",HOF,HATE,hasoc_2020_en_3709
3011,1.1268367088620462e+18,RT @teresa_monique2: Why do all men do this???? CLOSE THE DAMN WIPES https://t.co/SejIuUquua,HOF,HATE,hasoc_2020_en_2352
3037,1.1236610083739853e+18,"RT @JoeNBC: How stupid does William Barr and his Republican enablers in Washington, DC, think Americans are? Judging from their performance…",HOF,HATE,hasoc_2020_en_623
3049,1.1269340418720604e+18,RT @daelovee: Have yall identified y’all rapey ass homeboys yet ? Or are y’all still blind to it? https://t.co/L7RN06Z1rf,HOF,HATE,hasoc_2020_en_124
3080,1.1269741729771438e+18,RT @mineifiwildout: took that bitch off n had a tory lanez hairline https://t.co/Q9xiwQKY91,HOF,HATE,hasoc_2020_en_1259
3086,1.1267462880394158e+18,RT @DaRealButtercup: Get these old white men THE FUCK up outta here dawg. Shit ridiculous. They’re trying to kill us. They don’t give a FUC…,HOF,HATE,hasoc_2020_en_1944
3097,1.1238224219733156e+18,"RT @blcksiren_: You can block me, unfriend me, unfollow me

But you can’t uneat my ass https://t.co/x8IhSs2nxU",HOF,HATE,hasoc_2020_en_4708
3098,1.1270269499001119e+18,RT @leegregory4367: Faker. Loser. Liar. Make Sims go away. Vote him out. https://t.co/UPBkMzFUqI,HOF,HATE,hasoc_2020_en_5205
3106,1.1235902126958756e+18,RT @jaketapper: White House is working to designate Muslim Brotherhood a terrorist organization - CNNPolitics https://t.co/28kYsBidQ9,HOF,HATE,hasoc_2020_en_584
3149,1.1235320041532659e+18,RT @amvetsupport: Every day I see less morality and values from this corrupt presidency. Here is my position. Don’t any of you trump suppor…,HOF,HATE,hasoc_2020_en_4071
3157,1.1302734376651039e+18,RT @telushk: When are activists going to stop doing this shit in places where minimum wage workers are going to have to clean it up? Throw…,HOF,HATE,hasoc_2020_en_3845
3158,1.1269842015494104e+18,RT @sadgirlrosa: miami cubans got some fucking nerve voting for stricter immigration when their ass was allowed to wash up ashore no questi…,HOF,HATE,hasoc_2020_en_5233
3180,1.1235279272688065e+18,realDonaldTrump #tinyhands not my president https://t.co/yHUYokawoi,HOF,HATE,hasoc_2020_en_594
3185,1.1236839931473795e+18,RT @kodakvon: fuck instructions how hard is it to go crazy on the clit whirl going stupid with fingers y’all niggas retards https://t.co/AQ…,HOF,HATE,hasoc_2020_en_390
3209,1.130178839332696e+18,"RT @M3lchyyy: Before mdeportiwe nadai kuwashow 
"" Petite girls are the shit😍😍😋 """,HOF,HATE,hasoc_2020_en_3938
3242,1.1300209195886756e+18,"RT @Arrow__X: Yo, America is full of perverts. Wtf is this? https://t.co/aKlardRsaW",HOF,HATE,hasoc_2020_en_1372
3243,1.1269731076322016e+18,"RT @zains96: Fuck Israel

I’ll say it again.

FUCK ISRAEL. https://t.co/US37noCvDB",HOF,HATE,hasoc_2020_en_4734
3245,1.1267864233639731e+18,"you know they want to ""lock her up""",HOF,HATE,hasoc_2020_en_2215
3247,1.1269701464369152e+18,therefore cats are inferior FUCK U if you love cats,HOF,HATE,hasoc_2020_en_2312
3279,1.126951469205291e+18,How do you get females in trouble? :) — Pm me to find out https://t.co/Mmi8nkXrF3,HOF,HATE,hasoc_2020_en_1149
3325,1.12364577045078e+18,RT @ProudResister: Bill Barr is a traitor. Lindsey Graham is a traitor. Mitch McConnell is a traitor. Donald Trump is a traitor. But if Dem…,HOF,HATE,hasoc_2020_en_2919
3340,1.1236490126310564e+18,@givingmejinki They deserve jail honestly fucking disgusting,HOF,HATE,hasoc_2020_en_186
3373,1.1302168690912625e+18,"RT @chasefoland: Jake Paul: bro, you’re a bully and you hurt my feelings

Cody Ko:

 https://t.co/zKsksS8lb5",HOF,HATE,hasoc_2020_en_3054
3405,1.1301543949206403e+18,RT @Jamierodr14: .AWESOME! Democratic hopefuls have no idea who they are up against! 63+ million Americans who are sick of Liberal Hypocrit…,HOF,HATE,hasoc_2020_en_5223
3449,1.126965230716715e+18,@trdavis8337 @BrheABC13 @abc13houston Exactly.  She's just as guilty.  They both need to be thrown under the jail!,HOF,HATE,hasoc_2020_en_2832
3451,1.1268414106640259e+18,"RT @Rambobiggs: You’re a horrible fucking Dr
You’re a horrible fucking Dr
You’re a horrible fucking Dr
You’re a horrible fucking Dr
You’re…",HOF,HATE,hasoc_2020_en_155
3466,1.1302571218098176e+18,Censorship at its finest @jack you suck https://t.co/UByX9uSS1W,HOF,HATE,hasoc_2020_en_3398
3486,1.1268225782309107e+18,Niggas just talking bout shit now lol gn,HOF,HATE,hasoc_2020_en_227
3487,1.1235005007150162e+18,"jesus christ, the replies on this. the shit diane abbott gets is unreal. so many bitter angry miserable people. she… https://t.co/dR8X15jSt4",HOF,HATE,hasoc_2020_en_2695
3491,1.1235322558283039e+18,Hate when people only ever ring you when they want something😠,HOF,HATE,hasoc_2020_en_1081
3494,1.1269771886607524e+18,"RT @DVATW: British Muslims.
*More than half of British muslims think homosexuality should be illegal
*Almost half would not accept a teache…",HOF,HATE,hasoc_2020_en_2421
3531,1.126814646806012e+18,RT @JoeyNoCollusion: You had a coup against the sitting President of the United States lead by a bunch of treasonous scum that previously s…,HOF,HATE,hasoc_2020_en_3786
3537,1.1268192479828173e+18,@GOPChairwoman @realDonaldTrump Cause they never had anyother platform except rape the American Ppl and the world if you're a Clinton,HOF,HATE,hasoc_2020_en_4936
3622,1.1270692494770094e+18,RT @evewhite5500: Father of Colorado school shooter Alec McKinney is serial felon and illegal immigrant 💥 So is this why there is no covera…,HOF,HATE,hasoc_2020_en_1838
3624,1.1236174756718099e+18,Men are  TRASH! 💔 I’m a victim of rape I’m just not as strong to come out. I guess I just did. Fuck niggas.,HOF,HATE,hasoc_2020_en_5170
